house_age,distance_to_the_nearest_MRT_station,number_of_convenience_stores,latitude,longitude,house_price_of_unit_area
25.3,1583.72,3,24.97,121.52,30.6
16.6,289.32,5,24.98,121.54,59.6
13.3,492.23,5,24.97,121.54,31.3
13.6,492.23,5,24.97,121.54,48
31.5,414.95,4,24.98,121.54,32.5
0,185.43,0,24.97,121.53,45.5
9.9,279.17,7,24.98,121.55,57.4
1.1,193.58,6,24.97,121.54,48.6
38.6,804.69,4,24.98,121.53,62.9
3.8,383.86,5,24.98,121.54,55
41.3,124.99,6,24.97,121.54,60.7
38.5,216.83,7,24.98,121.54,41
29.6,535.53,8,24.98,121.54,37.5
4,2147.38,3,24.96,121.51,30.7
26.6,482.76,5,24.97,121.54,37.5
18,373.39,8,24.99,121.54,39.5
33.4,186.97,6,24.97,121.54,42.2
18.9,1009.24,0,24.96,121.55,20.8
11.4,390.57,5,24.98,121.54,46.8
13.6,319.07,6,24.96,121.54,47.4
10,942.47,0,24.98,121.52,43.5
12.9,492.23,5,24.97,121.54,42.5
16.2,289.32,5,24.98,121.54,51.4
5.1,1559.83,3,24.97,121.52,28.9
19.8,640.61,5,24.97,121.55,37.5
13.6,492.23,5,24.97,121.54,40.1
11.9,1360.14,1,24.95,121.55,28.4
2.1,451.24,5,24.98,121.55,45.5
0,185.43,0,24.97,121.53,52.2
3.2,489.88,8,24.97,121.54,43.2
16.4,3780.59,0,24.93,121.51,45.1
34.9,179.45,8,24.97,121.54,39.7
35.8,170.73,7,24.97,121.54,48.5
4.9,387.77,9,24.98,121.54,44.7
12,1360.14,1,24.95,121.55,28.9
6.5,376.17,6,24.95,121.54,40.9
16.9,4066.59,0,24.94,121.5,20.7
13.8,4082.02,0,24.94,121.5,15.6
30.7,1264.73,0,24.95,121.53,18.3
16.1,815.93,4,24.98,121.53,35.6
11.6,390.57,5,24.98,121.54,39.4
15.5,815.93,4,24.98,121.53,37.4
3.5,49.66,8,24.96,121.54,57.8
19.2,616.4,3,24.98,121.54,39.6
16,4066.59,0,24.94,121.5,11.6
8.5,104.81,5,24.97,121.54,55.5
0,185.43,0,24.97,121.53,55.2
13.7,1236.56,1,24.98,121.55,30.6
0,293,6,24.98,121.54,73.6
28.2,330.09,8,24.97,121.54,43.4
27.6,515.11,5,24.96,121.54,37.4
8.4,1962.63,1,24.95,121.55,23.5
24,4527.69,0,24.95,121.5,14.4
3.6,383.86,5,24.98,121.54,58.8
6.6,90.46,9,24.97,121.54,58.1
41.3,401.88,4,24.98,121.54,35.1
4.3,432.04,7,24.98,121.54,45.2
30.2,472.17,3,24.97,121.54,36.5
13.9,4573.78,0,24.95,121.5,19.2
33,181.08,9,24.98,121.54,42
13.1,1144.44,4,24.99,121.53,36.7
14,438.85,1,24.97,121.53,42.6
26.9,4449.27,0,24.95,121.5,15.5
11.6,201.89,8,24.98,121.54,55.9
13.5,2147.38,3,24.96,121.51,23.6
17,4082.02,0,24.94,121.5,18.8
14.1,2615.47,0,24.95,121.56,21.8
31.4,1447.29,3,24.97,121.52,21.5
20.9,2185.13,3,24.96,121.51,25.7
8.9,3078.18,0,24.95,121.57,22
34.8,190.04,8,24.98,121.54,44.3
16.3,4066.59,0,24.94,121.5,20.5
35.3,616.57,8,24.98,121.54,42.3
13.2,750.07,2,24.97,121.55,37.8
43.8,57.59,7,24.97,121.54,42.7
9.7,421.48,5,24.98,121.54,49.3
15.2,3771.9,0,24.93,121.51,29.3
15.2,461.1,5,24.95,121.54,34.6
22.8,707.91,2,24.98,121.55,36.6
34.4,126.73,8,24.97,121.54,48.2
34,157.61,7,24.97,121.54,39.1
18.2,451.64,8,24.97,121.54,31.6
17.4,995.76,0,24.96,121.55,25.5
13.1,561.98,5,24.99,121.54,45.9
38.3,642.7,3,24.98,121.54,31.5
15.6,289.32,5,24.98,121.54,46.1
18,1414.84,1,24.95,121.55,26.6
12.8,1449.72,3,24.97,121.52,21.4
22.2,379.56,10,24.98,121.54,44
38.5,665.06,3,24.98,121.54,34.2
11.5,1360.14,1,24.95,121.55,26.2
34.8,175.63,8,24.97,121.54,40.9
5.2,390.57,5,24.98,121.54,52.2
0,274.01,1,24.97,121.53,43.5
17.6,1805.67,2,24.99,121.52,31.1
6.2,90.46,9,24.97,121.54,58
18.1,1783.18,3,24.97,121.51,20.9
19.2,383.71,8,24.97,121.54,48.1
37.8,590.93,1,24.97,121.54,39.7
28,372.62,6,24.98,121.54,40.8
13.6,492.23,5,24.97,121.54,43.8
29.3,529.78,8,24.98,121.54,40.2
37.2,186.51,9,24.98,121.54,78.3
9,1402.02,0,24.99,121.53,38.5
30.6,431.11,10,24.98,121.54,48.5
9.1,1402.02,0,24.99,121.53,42.3
34.5,324.94,6,24.98,121.54,46
1.1,193.58,6,24.97,121.54,49
16.5,4082.02,0,24.94,121.5,12.8
32.4,265.06,8,24.98,121.54,40.2
11.9,3171.33,0,25,121.52,46.6
31,1156.41,0,24.95,121.53,19
4,2147.38,3,24.96,121.51,33.4
16.2,4074.74,0,24.94,121.5,14.7
27.1,4412.77,1,24.95,121.5,17.4
39.7,333.37,9,24.98,121.54,32.4
8,2216.61,4,24.96,121.51,23.9
12.9,250.63,7,24.97,121.54,39.3
3.6,373.84,10,24.98,121.54,61.9
13,732.85,0,24.98,121.53,39
12.8,732.85,0,24.98,121.53,40.6
18.1,837.72,0,24.96,121.55,29.7
11,1712.63,2,24.96,121.52,28.8
13.7,250.63,7,24.97,121.54,41.4
2,2077.39,3,24.96,121.51,33.4
32.8,204.17,8,24.98,121.54,48.2
4.8,1559.83,3,24.97,121.52,21.7
7.5,639.62,5,24.97,121.55,40.8
16.4,389.82,6,24.96,121.54,40.6
21.7,1055.07,0,24.96,121.55,23.1
19,1009.24,0,24.96,121.55,22.3
18,6306.15,1,24.96,121.48,15
39.2,424.71,7,24.97,121.54,30
31.7,1159.45,0,24.95,121.53,13.8
5.9,90.46,9,24.97,121.54,52.7
30.4,1735.6,2,24.96,121.52,25.9
1.1,329.97,5,24.98,121.54,51.8
31.5,5512.04,1,24.95,121.48,17.4
14.6,339.23,1,24.98,121.53,26.5
17.3,444.13,1,24.98,121.53,43.9
0,293,6,24.98,121.54,63.3
17.7,837.72,0,24.96,121.55,28.8
17,1485.1,4,24.97,121.52,30.7
16.2,2288.01,3,24.96,121.51,24.4
15.9,289.32,5,24.98,121.54,53
3.9,2147.38,3,24.96,121.51,31.7
32.6,493.66,7,24.97,121.55,40.6
15.7,815.93,4,24.98,121.53,38.1
17.8,1783.18,3,24.97,121.51,23.7
34.7,482.76,5,24.97,121.54,41.1
17.2,390.57,5,24.98,121.54,40.1
17.6,837.72,0,24.96,121.55,23
10.8,252.58,1,24.97,121.53,117.5
17.7,451.64,8,24.97,121.54,26.5
13,492.23,5,24.97,121.54,40.5
13.2,170.13,1,24.97,121.53,29.3
27.5,394.02,7,24.97,121.54,41
1.5,23.38,7,24.97,121.54,49.7
19.1,461.1,5,24.95,121.54,34
21.2,2185.13,3,24.96,121.51,27.7
0,208.39,6,24.96,121.54,44
2.6,1554.25,3,24.97,121.52,31.1
2.3,184.33,6,24.97,121.54,45.4
4.7,387.77,9,24.98,121.54,44.8
2,1455.8,1,24.95,121.55,25.6
33.5,1978.67,2,24.99,121.52,23.5
15,383.28,7,24.97,121.54,34.4
30.1,718.29,3,24.98,121.54,55.3
5.9,90.46,9,24.97,121.54,56.3
19.2,461.1,5,24.95,121.54,32.9
16.6,323.69,6,24.98,121.54,51
13.9,289.32,5,24.98,121.54,44.5
37.7,490.34,0,24.97,121.53,37
3.4,56.47,7,24.96,121.54,54.4
17.5,395.67,5,24.96,121.53,24.5
12.6,383.28,7,24.97,121.54,42.5
26.4,335.53,6,24.98,121.54,38.1
18.2,2179.59,3,24.96,121.51,21.8
12.5,1144.44,4,24.99,121.53,34.1
34.9,567.03,4,24.97,121.55,28.5
16.7,4082.02,0,24.94,121.5,16.7
33.2,121.73,10,24.98,121.54,46.1
2.5,156.24,4,24.97,121.54,36.9
38,461.78,0,24.97,121.53,35.7
16.5,2288.01,3,24.96,121.51,23.2
38.3,439.71,0,24.97,121.53,38.4
20,1626.08,3,24.97,121.52,29.4
16.2,289.32,5,24.98,121.54,55
14.4,169.98,1,24.97,121.53,50.2
10.3,3079.89,0,24.95,121.57,24.7
16.4,289.32,5,24.98,121.54,53
30.3,1264.73,0,24.95,121.53,19.1
16.4,1643.5,2,24.95,121.55,24.7
21.3,537.8,4,24.97,121.54,42.2
35.4,318.53,9,24.97,121.54,78
8.3,104.81,5,24.97,121.54,42.8
3.7,577.96,6,24.97,121.55,41.6
15.6,1756.41,2,24.98,121.52,27.3
13.3,250.63,7,24.97,121.54,42
15.6,752.77,2,24.98,121.53,37.5
7.1,379.56,10,24.98,121.54,49.8
34.6,272.68,5,24.96,121.54,26.9
13.5,4197.35,0,24.94,121.5,18.6
16.9,964.75,4,24.99,121.53,37.7
12.9,187.48,1,24.97,121.53,33.1
28.6,197.13,6,24.98,121.54,42.5
12.4,1712.63,2,24.96,121.52,31.3
36.6,488.82,8,24.97,121.54,38.1
4.1,56.47,7,24.96,121.54,62.1
3.5,757.34,3,24.98,121.55,36.7
15.9,1497.71,3,24.97,121.52,23.6
13.6,4197.35,0,24.94,121.5,19.2
32,1156.78,0,24.95,121.53,12.8
25.6,4519.69,0,24.95,121.5,15.6
39.8,617.71,2,24.98,121.53,39.6
7.8,104.81,5,24.97,121.54,38.4
30,1013.34,5,24.99,121.53,22.8
27.3,337.6,6,24.96,121.54,36.5
5.1,1867.23,2,24.98,121.52,35.6
31.3,600.86,5,24.97,121.55,30.9
31.5,258.19,9,24.97,121.54,36.3
1.7,329.97,5,24.98,121.54,50.4
33.6,270.89,0,24.97,121.53,42.9
13,750.07,2,24.97,121.55,37
5.7,90.46,9,24.97,121.54,53.5
33.5,563.29,8,24.98,121.54,46.6
34.6,3085.17,0,25,121.52,41.2
0,185.43,0,24.97,121.53,37.9
13.2,1712.63,2,24.96,121.52,30.8
17.4,6488.02,1,24.96,121.47,11.2
4.6,259.66,6,24.98,121.55,53.7
7.8,104.81,5,24.97,121.54,47
13.2,492.23,5,24.97,121.54,42.3
4,2180.25,3,24.96,121.51,28.6
18.4,2674.96,3,24.96,121.51,25.7
4.1,2147.38,3,24.96,121.51,31.3
12.2,1360.14,1,24.95,121.55,30.1
3.8,383.86,5,24.98,121.54,60.7
10.3,211.45,1,24.97,121.53,45.3
0,338.97,9,24.97,121.54,44.9
1.1,193.58,6,24.97,121.54,45.1
5.6,2408.99,0,24.96,121.56,24.7
32.9,87.3,10,24.98,121.54,47.1
41.4,281.21,8,24.97,121.54,63.3
17.1,967.4,4,24.99,121.53,40
32.3,109.95,10,24.98,121.54,48
35.3,614.14,7,24.98,121.54,33.1
17.3,2261.43,4,24.96,121.51,29.5
14.2,1801.54,1,24.95,121.55,24.8
15,1828.32,2,24.96,121.52,20.9
18.2,350.85,1,24.98,121.53,43.1
20.2,2185.13,3,24.96,121.51,22.8
15.9,289.32,5,24.98,121.54,42.1
4.1,312.9,5,24.96,121.54,51.7
33.9,157.61,7,24.97,121.54,41.5
0,274.01,1,24.97,121.53,52.2
5.4,390.57,5,24.98,121.54,49.5
21.7,1157.99,0,24.96,121.55,23.8
14.7,1717.19,2,24.96,121.52,30.5
3.9,49.66,8,24.96,121.54,56.8
37.3,587.89,8,24.97,121.55,37.4
0,293,6,24.98,121.54,69.7
14.1,289.32,5,24.98,121.54,53.3
8,132.55,9,24.98,121.54,47.3
16.3,3529.56,0,24.93,121.52,29.3
29.1,506.11,4,24.98,121.54,40.3
16.1,4066.59,0,24.94,121.5,12.9
18.3,82.89,10,24.98,121.54,46.6
0,185.43,0,24.97,121.53,55.3
16.2,2103.56,3,24.96,121.51,25.6
10.4,2251.94,4,24.96,121.51,27.3
40.9,122.36,8,24.97,121.54,67.7
32.8,377.83,9,24.97,121.54,38.6
6.2,1939.75,1,24.95,121.55,31.3
42.7,443.8,6,24.98,121.54,35.3
16.9,967.4,4,24.99,121.53,40.3
32.6,4136.27,1,24.96,121.5,24.7
21.2,512.55,4,24.97,121.54,42.5
37.1,918.64,1,24.97,121.55,31.9
13.1,1164.84,4,24.99,121.53,32.2
14.7,1717.19,2,24.96,121.52,23
12.7,170.13,1,24.97,121.53,37.3
26.8,482.76,5,24.97,121.54,35.5
7.6,2175.03,3,24.96,121.51,27.7
12.7,187.48,1,24.97,121.53,28.5
30.9,161.94,9,24.98,121.54,39.7
16.4,289.32,5,24.98,121.54,41.2
23,130.99,6,24.96,121.54,37.2
1.9,372.14,7,24.97,121.54,40.5
5.2,2408.99,0,24.96,121.56,22.3
18.5,2175.74,3,24.96,121.51,28.1
13.7,4082.02,0,24.94,121.5,15.4
5.6,90.46,9,24.97,121.54,50
18.8,390.97,7,24.98,121.54,40.6
8.1,104.81,5,24.97,121.54,52.5
6.5,90.46,9,24.97,121.54,63.9
16,4066.59,0,24.94,121.5,11.6
8.5,104.81,5,24.97,121.54,55.5
0,185.43,0,24.97,121.53,55.2
13.7,1236.56,1,24.98,121.55,30.6
0,293,6,24.98,121.54,73.6
28.2,330.09,8,24.97,121.54,43.4
27.6,515.11,5,24.96,121.54,37.4
8.4,1962.63,1,24.95,121.55,23.5
24,4527.69,0,24.95,121.5,14.4
3.6,383.86,5,24.98,121.54,58.8
6.6,90.46,9,24.97,121.54,58.1
41.3,401.88,4,24.98,121.54,35.1
4.3,432.04,7,24.98,121.54,45.2
30.2,472.17,3,24.97,121.54,36.5
13.9,4573.78,0,24.95,121.5,19.2
33,181.08,9,24.98,121.54,42
13.1,1144.44,4,24.99,121.53,36.7
14,438.85,1,24.97,121.53,42.6
26.9,4449.27,0,24.95,121.5,15.5
11.6,201.89,8,24.98,121.54,55.9
13.5,2147.38,3,24.96,121.51,23.6
17,4082.02,0,24.94,121.5,18.8
14.1,2615.47,0,24.95,121.56,21.8
31.4,1447.29,3,24.97,121.52,21.5
20.9,2185.13,3,24.96,121.51,25.7
8.9,3078.18,0,24.95,121.57,22
34.8,190.04,8,24.98,121.54,44.3
16.3,4066.59,0,24.94,121.5,20.5
35.3,616.57,8,24.98,121.54,42.3
13.2,750.07,2,24.97,121.55,37.8
43.8,57.59,7,24.97,121.54,42.7
9.7,421.48,5,24.98,121.54,49.3
15.2,3771.9,0,24.93,121.51,29.3
15.2,461.1,5,24.95,121.54,34.6
22.8,707.91,2,24.98,121.55,36.6
34.4,126.73,8,24.97,121.54,48.2
34,157.61,7,24.97,121.54,39.1
18.2,451.64,8,24.97,121.54,31.6
17.4,995.76,0,24.96,121.55,25.5
13.1,561.98,5,24.99,121.54,45.9
38.3,642.7,3,24.98,121.54,31.5
15.6,289.32,5,24.98,121.54,46.1
18,1414.84,1,24.95,121.55,26.6
12.8,1449.72,3,24.97,121.52,21.4
22.2,379.56,10,24.98,121.54,44
38.5,665.06,3,24.98,121.54,34.2
11.5,1360.14,1,24.95,121.55,26.2
32,84.88,10,24.98,121.54,37.9
19.5,306.59,9,24.98,121.54,42.2
13.3,561.98,5,24.99,121.54,47.3
13.3,561.98,5,24.99,121.54,54.8
5,390.57,5,24.98,121.54,43.1
7.1,2175.03,3,24.96,121.51,32.1
34.5,623.47,7,24.98,121.54,40.3
20.3,287.6,6,24.98,121.54,46.7
31.7,5512.04,1,24.95,121.48,18.8
17.9,1783.18,3,24.97,121.51,22.1
34.8,405.21,1,24.97,121.53,41.4
6.3,90.46,9,24.97,121.54,58.1
13,492.23,5,24.97,121.54,39.3
20.4,2469.65,4,24.96,121.51,23.8
13.2,1164.84,4,24.99,121.53,34.3
35.7,579.21,2,24.98,121.55,50.5
0,293,6,24.98,121.54,70.1
17.7,350.85,1,24.98,121.53,37.4
16.9,368.14,8,24.97,121.54,42.3
1.5,23.38,7,24.97,121.54,47.7
4.5,2275.88,3,24.96,121.51,29.3
10.5,279.17,7,24.98,121.55,51.6
14.7,1360.14,1,24.95,121.55,24.6
10.1,279.17,7,24.98,121.55,47.9
39.6,480.7,4,24.97,121.54,38.8
29.3,1487.87,2,24.98,121.52,27
3.1,383.86,5,24.98,121.54,56.2
10.4,276.45,5,24.96,121.54,33.6
19.2,557.48,4,24.97,121.54,47
7.1,451.24,5,24.98,121.55,57.1
25.9,4519.69,0,24.95,121.5,22.1
29.6,769.4,7,24.98,121.53,25
37.9,488.57,1,24.97,121.53,34.2
16.5,323.66,6,24.98,121.54,49.3
15.4,205.37,7,24.98,121.54,55.1
13.9,4079.42,0,25.01,121.52,27.3
14.7,1935.01,2,24.96,121.51,22.9
12,1360.14,1,24.95,121.55,25.3
3.1,577.96,6,24.97,121.55,47.7
16.2,289.32,5,24.98,121.54,46.2
13.6,4082.02,0,24.94,121.5,15.9
16.8,4066.59,0,24.94,121.5,18.2
36.1,519.46,5,24.96,121.54,34.7
34.4,512.79,6,24.99,121.54,34.1
2.7,533.48,4,24.97,121.55,53.9
36.6,488.82,8,24.97,121.54,38.3
21.7,463.96,9,24.97,121.54,42
35.9,640.74,3,24.98,121.54,61.5
24.2,4605.75,0,24.95,121.5,13.4
29.4,4510.36,1,24.95,121.5,13.2
21.7,512.55,4,24.97,121.54,44.2
31.3,1758.41,1,24.95,121.55,20.7
32.1,1438.58,3,24.97,121.52,27
13.3,492.23,5,24.97,121.54,38.9
16.1,289.32,5,24.98,121.54,51.7
31.7,1160.63,0,24.95,121.53,13.7
33.6,371.25,8,24.97,121.54,41.9
3.5,56.47,7,24.96,121.54,53.5
30.3,4510.36,1,24.95,121.5,22.6
13.3,336.05,5,24.96,121.53,42.4
11,1931.21,2,24.96,121.51,21.3
5.3,259.66,6,24.98,121.55,63.2
17.2,2175.88,3,24.96,121.51,27.7
2.6,533.48,4,24.97,121.55,55
17.5,995.76,0,24.96,121.55,25.3
40.1,123.74,8,24.98,121.54,44.3
1,193.58,6,24.97,121.54,50.7
8.5,104.81,5,24.97,121.54,56.8
30.4,464.22,6,24.98,121.54,36.2
12.5,561.98,5,24.99,121.54,42
6.6,90.46,9,24.97,121.54,59
35.5,640.74,3,24.98,121.54,40.8
32.5,424.54,8,24.98,121.54,36.3
13.8,4082.02,0,24.94,121.5,20
6.8,379.56,10,24.98,121.54,54.4
12.3,1360.14,1,24.95,121.55,29.5
35.9,616.4,3,24.98,121.54,36.8
20.5,2185.13,3,24.96,121.51,25.6
38.2,552.44,2,24.98,121.53,29.8
18,1414.84,1,24.95,121.55,26.5
11.8,533.48,4,24.97,121.55,40.3
30.8,377.8,6,24.96,121.54,36.8
13.2,150.93,7,24.97,121.54,48.1
25.3,2707.39,3,24.96,121.51,17.7
15.1,383.28,7,24.97,121.54,43.7
0,338.97,9,24.97,121.54,50.8
1.8,1455.8,1,24.95,121.55,27
16.9,4066.59,0,24.94,121.5,18.3
8.9,1406.43,0,24.99,121.53,48
